0,0,66,0,0,0.5,3,64,0.2,1.1,0,52,-0.5,1,0,-13.3,175,50.4,-0.5,56,-0.4,-17.3,8.3,-41.6,73,0,-34.9,28,0,5,-24,0,1.6,-0.1,0,11,0,73,91,28,-2.4,-0.2,40,48,0,0.7,44,-0.2,0.1,3,76,-32.7,6.1,-0.1,-2,52,0,-0.4,26.7,-0.2,22.4,3.2,-2.5,0,-1,-0.3,2.1,12,17,-1.5,16,72,0.8,0,16,32,154,0.2,0.9,16,28,-13.3,11.6,0,0,24,44,0.8,84,64,-9.9,2.8,68,5.7,0,0,52,0,2.4
0,0,66,0,0,1.6,2.5,56,0.9,1.9,16,44,-0.6,0.7,0,-11.2,174,18,-0.6,40,-1.3,-10,10.8,-26.1,81,0,-13,36,60,4.5,53,1,0.5,-0.5,0,7.6,0,32,83,24,-12.2,0,40,44,0,-0.4,48,0.2,0,27.5,68,-17.9,1.3,-0.3,0,36,0,1.2,28.6,0.3,35,8.6,-25.5,0,0.4,-0.2,0.6,0,34,-1.8,20,72,3.3,68,20,32,122,0.3,-0.5,20.3,36,-32.2,8.7,0,0,32,36,0.2,64,44,-6.2,-1,84,10,0,24,44,12,-10.7
0,0,67,-0.7,0,2.9,4.5,36,2.4,3.4,12,32,-0.2,1.8,0,-11.4,209,64.4,-1.3,24,-2.1,-8.4,16.8,-9,75,0,6.1,24,48,8.9,46,1,0.3,0,0,17.9,0,48,81,28,-12.7,0,44,48,0,0.9,52,0.1,-0.2,42.6,76,-22.9,3.6,-0.2,-5.7,12,0,1.9,87.7,0.4,59.7,13.6,-34.7,0,0.7,0,0.5,20,76.9,-0.6,28,64,6.4,0,20,44,0,0.1,0.2,40,28,-51.6,23.9,0,0,36,44,0.8,80,48,-2.8,-1.1,64,14,0,24,16,0,-6.7
0,0,73,0,0,1.1,2.2,56,0.8,1.6,12,48,-0.2,0.9,0,-5.8,142,12.9,0,0,-0.7,-6.1,6.8,-14.1,56,0,-7.6,24,56,3.9,10,1,0,-0.4,0,7,0,44,80,20,-0.5,-0.1,36,40,0,0.6,44,0.2,-0.1,-2.4,48,-13.7,1.2,-0.1,0,40,0,0.5,25.9,-0.2,23.8,3.3,-10.7,0,-0.8,0.1,0,0,19.5,-1.3,0,48,1.5,20,16,28,117,0.1,0.7,11,20,-11,15.9,0,0,28,60,0.4,52,52,-3.6,0.5,48,6.2,0,20,44,0,1.6
0,0,78,0,0,0.5,2,60,0.6,0.6,0,36,-0.4,0.9,0,-11.9,133,56,0,32,-0.7,-9.2,12.3,-34.2,60,0,-0.7,32,0,6.1,-2,1,0.9,-0.4,0,17.3,0,37,83,36,-1.2,0,52,52,0,0.6,52,-0.4,-0.6,9,60,-34.5,3.3,-1,-1.8,0,0,0.1,45.3,-0.1,33.9,6.5,-25.7,0,-0.8,0,1.7,16,36.5,0,0,84,1.3,0,16,32,147,0.4,1.3,31.9,28,-30.7,19.3,0,0,24,48,0.7,68,68,-6.2,0.7,72,9.3,0,0,44,0,5.8
0,0,86,-0.9,0,1.8,4.2,48,3,2.7,12,44,-0.2,1.8,20,-10.4,176,81.5,-0.6,36,-2.1,-10.6,14.1,-17.9,68,0,16.7,40,68,15.4,52,0,0.6,0.2,-0.6,19.2,0,57,92,36,-4.4,0.1,52,44,28,0.8,40,-0.8,-0.4,22.3,0,-29.3,4.2,-0.3,0,44,68,1.7,61.9,-0.2,34.6,9.8,-36.8,-1.4,1.2,-0.1,1.1,0,49.2,-2.2,20,48,3.2,56,24,44,159,0.7,1.4,25.8,40,-28.2,24.1,0,0,44,40,0.5,44,44,-6.1,-0.7,40,9.9,0.8,24,48,16,-1
0,0,75,0,0,2.3,3.1,52,1.7,2.7,0,40,0.5,2.3,24,-11.2,171,33.9,-1.7,28,-1.9,-12.6,5.4,-27.9,9,0,-20,28,0,3.3,10,1,1.6,0.5,-2.1,5.4,0,63,79,16,3,0.5,32,44,24,0.9,40,-0.6,0.8,-9.2,40,-19.7,2.5,0.6,-0.8,36,44,0.5,23.5,-0.1,27.5,0.8,-29.6,-1,-0.8,0,1.2,20,16.5,-4.7,32,0,1.2,0,12,12,160,0.2,1.4,3.4,28,-20.2,25.3,0,0,20,44,1.6,40,44,-8.2,-0.9,28,4,1.1,0,40,0,16.1
0,0,64,-0.9,0,2.2,3.8,40,2.4,2.9,28,32,0.4,1.2,20,-3.2,192,75,-0.8,40,-1.8,-4.8,13.6,12.5,19,0,29.5,28,48,14.3,58,0,-0.5,-0.2,-1.9,16.2,0,55,87,32,4.2,0.1,52,52,40,0.9,52,-0.1,0.2,10.4,0,1,3.1,0.2,-0.6,36,64,1.7,64.6,0.5,37.1,2.9,13.2,-1.8,1.1,0.1,-0.3,24,29.9,-3.2,28,24,7.3,0,36,36,292,-0.3,0.8,29.6,32,-21.6,16.8,0,0,52,36,-0.1,36,48,-4.4,1.2,36,9.4,0.8,48,36,0,3.8
0,0,73,0,0,2.6,4,44,3.2,3,16,36,-0.1,2.7,16,-4.1,176,39.5,0,0,-2.5,-5.8,10.3,-3.4,24,0,5.2,24,64,6.5,47,1,0.1,-0.2,0,9.8,0,37,85,32,8.4,0,48,48,32,0.8,44,0.1,0.1,1.8,0,-23.7,1.3,0,0,36,8,2.3,45.9,-0.2,44.9,4.8,-38.6,-1.2,0.6,0,0.2,36,42.7,-1.9,0,28,2.8,20,24,32,145,0.3,1.2,21.3,28,-47.3,46.7,0,0,40,60,-0.1,48,52,-5.4,-1.7,52,8.5,0.4,28,40,0,7.8
28,0,72,0,0,2.8,5.1,56,2.2,3.4,12,40,-0.2,2.6,0,-5.8,192,54.7,-1.9,36,-2.2,-5.5,9.1,-11.1,37,0,-1.4,36,36,4,21,1,0.1,0.1,-0.6,12.6,0,57,78,24,5.4,0.1,48,44,0,1,48,-0.7,-0.4,-1.7,52,-9.9,1.5,-0.1,-1.8,36,0,0.8,78.4,-0.1,49.3,3.3,-25.7,0,-0.4,-0.2,0.1,24,35.7,-0.9,36,48,3.2,0,20,20,132,0.5,1.1,18.4,24,-34.5,35.5,0.5,0,32,44,1.3,60,48,-3.4,-1.8,68,9.2,0,24,40,0,14.7
